,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1982,60.6307134625797,,,,,,,,,,51.7868699293762,,,,53.018
1983,59.8920423029028,,,,,,,,,,51.7149562139161,,,,53.139
1984,59.3446824533431,,,,,,,,,,51.7184561756359,,,,53.299
1985,58.8947368671808,,,,,,,,,,51.8032257941173,,,,53.498
1986,58.5393297104292,,,,,,,,,,51.8971614842263,,,,53.697
1987,58.2885083097812,,,,,,,,,,52.0011803389017,,,,53.895
1988,58.4666498837617,,,,,,,,,,52.0207710163773,,,,54.094
1989,59.5157643696168,,,,,,,,,,51.9636809329781,,,,54.057
1990,60.7608042252363,,,8.32727246732362,,,,,,,51.9200876881947,,83.0832196452933,,53.749
1991,61.6403223780662,,,15.5904054068921,-0.700000175699572,-2.01238310352751,83.5495126683364,,,,51.8768966250806,,86.8637724550898,0.07,53.441
1992,62.2755975821056,,,2.80620862500548,-22.6000003264444,-23.7612021557258,1065.32923018531,,2.40022562120839,0.01084,51.8483670862488,,140.799983402834,0.13,53.132
2010,39.274311233566,4.0,6.38557579182856,-465.487298167864,5.04894451349574,3.80649102062563,13.5458167908374,100.0,2.79100435652891,0.80265,51.9298009697328,6.30070170030242,74.9859884610856,4.39,53.406
2011,38.7078975091925,4.0,7.966018158910485,-377.332754618619,0.10000013782458,-1.19584296227708,22.524361140543,100.0,4.67013555547022,0.789686388888889,51.8554690665125,-2.88597938752249,80.5080450059522,4.43,53.637
2012,38.81041962457,4.0,9.546460525992408,-328.956795544407,2.1652394748416,0.816684128241235,2.88293295403217,100.0,4.65861825196324,0.785645349462366,51.7777602392446,15.0296068894244,78.263069540422,4.32,53.883
2013,39.5493100261129,4.0,11.126902893074334,-327.600377712539,5.80980084268208,4.45002009882025,0.445064509020867,100.0,4.54092330961466,0.784541075268817,51.6996375050779,17.6862204009871,74.6758447629851,4.04,54.145
2014,40.4458230491559,4.0,12.707345260156256,-310.384694389236,2.75050681535518,1.47593694077869,-1.28499552026639,100.0,4.55501312398224,0.7843475,51.6269001648611,19.3916777101463,69.4832251953347,4.02,54.422
2015,41.3385630702997,4.0,14.287787627238181,-310.384694389236,1.09397591627469,-0.103121364891479,-8.84969256895297,100.0,5.46487679293858,1.02456381855059,51.5607642894128,28.9454418522707,72.6015079073189,4.09,54.714
2016,42.2694499411257,4.0,15.868229994320107,-310.384694389236,-3.09999988037266,-4.17717168005237,14.6714002511137,100.0,3.68852730317814,1.59572157270424,51.4509605785238,1.48583383570765,90.0773187345677,4.2,55.021
2017,42.9697743409433,4.0,17.44867236140203,-310.384694389236,0.199999938958655,-0.778416126232784,16.1724003104411,100.0,3.75630173249661,1.72115480222734,51.3057569592403,0.318577982868449,90.4023156823216,4.1,55.343
2018,43.1245500256305,4.0,19.029114728483954,-310.384694389236,1.49999999999999,0.624486167739661,12.1848769569655,100.0,3.56240123412697,1.70001666666667,51.1845622192109,4.691769977505,91.6725765369825,4.1,55.68
2019,43.2140002863056,4.0,20.609557095565876,-310.384694389236,2.50000006743734,1.63585048130741,-0.241307927446329,100.0,3.87341170306515,1.7,51.1129397975862,17.5649086189187,85.8181454084561,4.29,56.031
2020,43.4171493479948,4.0,22.1899994626478,-310.384694389236,-4.30000010230737,-4.95270173869491,-7.39596582740913,100.0,5.39049499415887,1.7,51.0862790508096,26.5368212837468,72.0178676487811,6.13,56.397
