,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1982,54.2728147962453,,,,,,,,,,52.2444125212131,,,,66.467
1983,54.054508049934,,,,,,,,,,52.2196344772851,,,,66.675
1984,54.0877702111514,,,,,,,,,,52.2105895804899,,,,66.883
1985,54.2115957465929,,,,,,,,,,52.2296738591696,,,,67.09
1986,54.3557514827273,,,,,,,,,,52.2551571423022,,,,67.296
1987,54.5646327968531,,,,,,,,,,52.2781596625527,,,,67.501
1988,54.8419655474463,,,,,,,,,,52.302432845274,,,,67.706
1989,54.6633485910906,,,,,,,99.0,,,52.2555836310302,,,,67.69
1990,54.7782354435487,,,98.0705002296298,,,,99.2,,,52.1780048967844,,81.3357185450209,,67.421
1991,55.6070325851032,,,98.1804916179142,-11.699998482027,-13.2111499901537,79.386104296155,99.4,,,52.1393611911092,,100.865855188857,,67.15
1992,58.0371569902749,,,93.3084975367967,-41.8000027457562,-41.1137635319795,568.807295439343,99.6,2.20338983050847,,52.1651598424463,,101.076759405526,1.3,66.878
2010,42.9172236658305,4.5,,64.6512304078486,2.2000000002151,2.91158696816194,7.76871548067652,99.8,4.26564605593771,373.660466738817,54.0721195410016,10.6076357898925,64.642975973633,17.608,63.44
2011,42.8588952887091,4.0,,67.3442167531802,4.69999999867412,5.28437530828725,4.28154999826118,100.0,3.85394644115574,372.500882448711,54.1357267253019,12.9197578932998,69.4355736620453,17.606,63.34
2012,43.1066653605776,4.5,,72.706661599216,7.20000000096486,7.33470454115984,5.34580441814725,100.0,3.58376691873744,401.763975626916,54.1020493566013,11.2811932906832,75.9616759606704,16.495,63.24
2013,43.5955735295585,4.5,,72.0464797313162,3.3,3.37178358702843,3.36682464224465,100.0,3.99724455730484,409.625749270293,54.0660143068409,12.2168430436348,77.5550481598824,14.538,63.164
2014,44.220347328995,4.5,,71.3413045219602,3.60000000058993,3.88187670110254,2.30918242990974,100.0,3.94337826474581,415.919789204938,54.0299108068581,13.7812486601176,75.778866962639,15.68,63.112
2015,45.0074829961521,4.5,,71.3413045219602,3.19999999896625,3.51599547257022,1.21390990471085,100.0,4.23922578573229,477.918306576099,53.9965568673175,16.1800096730379,71.6820743427575,17.364,63.085
2016,45.9130890185114,4.5,,71.3413045219602,0.199999999825991,0.611877151180408,0.268575076501392,100.0,4.09034921699325,480.488150777966,53.9661270827109,17.0423595080455,76.0779674593548,17.735,63.082
2017,46.8188831337656,4.5,,71.3413045219602,7.50000000164144,7.96544606461424,2.15064189848613,100.0,3.84973057654684,482.716393849129,53.939449660253,11.9973399575166,87.202376539837,17.911,63.103
2018,47.4127303230816,4.5,,71.3413045219602,5.19999999965324,5.56850117850011,2.78770951425761,100.0,4.11988615256896,482.987946590235,53.8890673942814,9.73397739946579,92.473107021212,7.672,63.149
2019,47.8107543362811,4.5,50.0284206863703,71.3413045219602,7.59999999853918,7.83608438672164,1.06562263923419,100.0,4.78770584078564,480.44512876712,53.8189073448367,10.9595785635957,96.1141541288708,8.27,63.219
2020,48.1754870679756,4.5,63.4012140067668,71.3413045219602,-7.19999999920631,-7.16866452731679,1.80659270159933,100.0,4.98254372367497,489.008858590915,53.7708430477514,9.63911034033596,69.4888075396076,7.505,63.313
