Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
2012,40.8345526687369,30.2962533465636,0.152314967200653,0.399970155574351,7.98256111045039,1.61331991729012,7.99102933333333,53.4815062764693,9.64012656225921,102.622788356626,68.782,10
2013,41.3166740567217,25.669858000735,0.045439094492707,0.273496006330021,4.30879343709354,1.57929167934982,7.993,53.4530393837036,11.8306483626893,94.0016694501782,68.875,9
2014,42.0954905825425,27.2085082165267,-10.0788949856211,-4.87524996257295,15.9017375254406,2.24502052094788,11.8866594166667,53.4403635400212,1.56710691315341,100.691782483624,68.968,8
2015,43.3341607506951,27.2085082165267,-9.77298721103519,-9.44383219053168,38.8816797571771,3.25118076341283,21.8446977666667,53.429554584988,-12.2829289797878,107.806616298156,69.061,7
2016,44.485957567843,27.2085082165267,2.4409819445784,2.85480260756702,17.097134924235,3.15477660251022,25.5513341166667,53.4139854341485,1.82756968718009,105.521204913122,69.154,6
2017,45.6557777135064,27.2085082165267,2.35997228099491,2.81064547083641,22.0983174978017,2.88440151897159,26.5966063,53.3999584162714,-4.68048423181966,104.034982911399,69.246,5
2018,46.557661136037,27.2085082165267,3.4883623420827,4.01638177635452,15.3985303493458,3.19235326531891,27.2004923333333,53.3927850410713,3.12512181891459,99.1998150718675,69.352,4
2019,47.2491268952806,27.2085082165267,3.19950386231294,3.79372391176472,8.24622626771318,3.52015241588676,25.8455893333333,53.3934280714893,10.693658767366,90.5112342910763,69.473,3
2020,47.8846379680524,27.2085082165267,-3.7528179386597,-3.10165858921107,10.2949601365333,3.81184948136676,26.9575243833333,53.4002898924785,3.62431779160013,79.1564523761815,69.608,2
2021,48.2195987327939,27.2085082165267,3.44562065700251,4.36448461386128,24.8047567705188,3.22834693677077,27.2861893833333,53.3979688766969,-9.2245269612232,82.69796136345,69.757,1
2022,48.5413219822399,27.2085082165267,-28.7585842132117,-16.7283581123208,34.9152851391436,33.5465729986209,32.3423016,53.4274891479076,-12.0860052703887,87.3965139907244,69.919,0
