"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Somalia","SOM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400000","300000","100000","185000","80000","89000","90000","175000","388000","578000","188000","293000","549000","621000","673000",
"Somalia","SOM","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","2.98507452011108","0.497512429952621","0","0.961538434028625","1.92307686805725","1.92307686805725","0.961538434028625","0","0","0","0","0","0","0","0.985221683979034","0.985221683979034","0.970873773097992","0.966183602809906","0.483091801404953","0","1.44927537441254","0.490196079015732",
"Somalia","SOM","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","23000000","26300000","","32000000","35900000","","32900000","19100000","29680000","32469000","31345000","34502000","43416000","46602000","62038000","88578000","94279000","62031000","106558000","","132588000","152424146.2","199309000","107800000","63631000","108743000","80392000","140995068.8","126136662.2","120069729.8","150324553.3","98330292.99","129996674.4","121242539.3","151927700.7","172040518","192228161.6","157347245.5","126769542.9","116354871.1","124138768","84510248","127040257","167493506","179064577","214165601","332370735","187863599","204365208","272825231","354981382","473713561","462911865","630215275","671503731","677525890","621377363","462647351","534801924","622598681","521824202","","","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","0.434782608695652","1.90114068441065","","7.5","10.0278551532033","","3.3434650455927","8.90052356020942","2.12264150943396","0.344944408512735","0.682724517466901","2.84331343110544","3.28450340888152","2.14797648169606","0.465843515264838","1.71600171600172","1.56450535113864","0.440102529380471","0.276844535370409","","4.64597097776571","4.64597097678872","0.121921237876865","0.165120593692022","7.70222061573761","3.85771957735211","1.43546621554384","2.51115546609173","0.597289979899278","0.412726090435493","18.9012234734909","30.6940705241002","35.0206380330603","33.5281594684878","17.6624911256884","12.853315560242","18.1678615935242","9.85705182011019","26.1865538886892","28.7693317863854","17.7315389500241","5.57573443637273","16.7646858585936","16.9147369809072","18.8869516051743","25.9355721650182","20.3012452344819","38.0764130894778","23.7888329798289","17.2593883004904","13.3037241936255","9.94350909029602","11.7475077032212","7.5984038946057","4.10699028565785","4.31462921660455","1.18018975853808","9.43071670154229","9.98885467734406","20.479327517239","23.4340518380173","","","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","0.434782608695652","1.90114068441065","","7.5","10.0278551532033","","3.64741641337386","13.0890052356021","2.30795148247978","0.344944408512735","0.682724517466901","4.63161555851835","4.44306246545052","3.26810008154156","4.33444018182404","4.55079139289666","1.59208307258244","0.917283293836953","1.19465455432722","","5.30515582103961","5.30515581992022","0.202700329638902","0.75139146567718","7.8468042306423","4.03796106416045","1.6419544233257","3.55106953541555","2.10594647577467","1.90325273987083","20.3112241374543","32.202984200147","37.7289437547989","35.5203931142376","20.1026388121214","15.722324075564","25.7530363233516","12.8800177632528","29.8999588002454","30.912926229397","20.1315627685301","16.469711460319","38.0695286219391","30.2616042916912","32.4355626182838","39.1094412963172","29.1176144012799","50.3090037149773","34.994080792852","20.6972429906969","17.9000508821051","14.3106276832974","16.3802321204275","17.4696916065705","16.8180514547283","11.3527181964958","9.17425857369059","16.2432800787829","20.7930198097044","30.7331091181672","30.4301926571049","","","",
"Somalia","SOM","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","0.0992724848555114","","","","0.14364418632869","","","","0.114623151832614","0.310060241502045","0.00547857626073735","0.0163124657705636","0.0409265936824928","0.0138577389245789","0.0327395800742438","0.0725415309830497","0.00485377000027168","0.0644435097192657","0.0119447108039476","0.0196154330371814","0.0361511235113602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","0.00300059389388383","","","","0.147126692229084","","","","0.000197401055904616","","0.0115140598923247","0.0474583020547104","0.000596339135294071","0.01820754487785","0.058512459939624","0.255163100720116","0.293679352036152","1.16791508284886","4.82273409823714","0.211569040955787","1.11778154998697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
